Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"NZ","Auckland","F","13","R","159","25","160","1","Bus","45","0.359","0","Other activities/sports","1000","","1000","","","",
"USA","SC","M","17","R","193","28","172","2","Car","5","0.226","37","Football/Soccer","1000","500","500","500","500","500",
"USA","WI","F","14","R","168","13","187","2","Bus","35","0","86","Swimming","1000","500","266","258","465","657",
"OZ","New South Wales","F","13","R","159","21","158","1","Bus","20","0.45","33","Hockey (Field)","1000","208","456","557","509","551",
"USA","GA","M","17","B","180","30","190","1","Bus","35","0.387","49","Basketball","1000","200","600","500","1000","1000",
"OZ","OZn Capitol Territory","M","11","R","148","24","146","3","Car","5","0.28","28","Tennis","634","415","799","628","1000","1000",
"OZ","New South Wales","M","14","R","184","28","198","1","Bus","15","0.31","47","Swimming","616","468","687","279","622","716",
"NZ","Auckland","M","13","L","171","22","165","1","Bus","25","0","0","Hockey (Field)","1000","","1000","","","",
"UK","North West","F","13","R","166","23","163","1","Bus","20","0.24","30","Swimming","579","824","584","748","868","877",
"OZ","South OZ","M","12","L","152","23","152","1","Bus","100","0.31","73","Football/Soccer","1000","1000","1000","1000","480","503",
"UK","Home Counties","M","12","L","152","23","151","1","Walk","10","0.39","86","Football/Soccer","790","237","327","170","980","1000",
"NZ","Auckland","F","14","L","150","22","152","1","Walk","15","0.364","0","Netball","750","","750","","","",
"CA","Quebec","F","16","R","156","24","149","2","Bus","25","0.297","34","Other activities/sports","588","674","599","610","364","396",
"OZ","New South Wales","M","11","R","145","23","140","2","SkateBoard...","10","0.38","48","Football/Soccer","220","237","385","193","834","811",
"USA","WI","F","17","R","169","23","175","2","Car","5","0.475","32","None","500","900","800","900","800","1000",
"USA","NJ","M","14","R","175","25","188","1","Bus","30","0","0","Basketball","200","300","100","50","400","80",
"OZ","Tasmania","F","17","R","167","24","170","1","Car","15","0.61","55","None","970","1000","1000","1000","669","685",
"USA","NM","F","17","R","163","25","165","1","Car","12","0.345","50","Baseball/Softball","800","600","900","","1000","1000",
"CA","Ontario","F","11","R","145","22","145","3","Walk","6","0.312","47","Basketball","1000","1000","1000","524","455","1000",
"UK","East Midlands","F","13","R","165","25","161","2","Bus","30","0.81","36","Basketball","812","756","725","754","1000","948",
"OZ","Tasmania","F","15","R","165","24","185","1","Bus","25","0.31","37","Tennis","894","433","462","450","468","539",
"OZ","Western OZ","F","13","R","179","27","186","2","Car","5","0.51","37","Basketball","1000","994","622","1000","90","208",
"OZ","New South Wales","F","11","R","155","22","164","2","Walk","10","0.42","26","Cricket","1000","1000","1000","1000","","",
"OZ","Victoria","M","10","R","138","21","99","1","Car","15","0.45","45","Basketball","1000","1000","1000","1000","829","834",
"NZ","Auckland","F","11","L","156","21","155","1","Walk","15","0.64","0","Tennis","750","","500","","","",
"OZ","New South Wales","M","13","B","133","27","167","1","Bus","12","0.45","65","Football/Soccer","1000","976","1000","1000","799","710",
"NZ","Canterbury","F","15","L","150","29","149","2","Bus","45","0.743","0","Other activities/sports","250","","500","","","",
