Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","Western OZ","F","12","R","148","23","153","1","Walk","15","0.42","31","Netball","415","669","876","941","125","338",
"UK","East","F","14","R","166","22","160","2","Bus","20","0","43","Dancing","776","848","280","701","1000","1000",
"NZ","Auckland","M","13","R","155","24","159","1","Cycle","15","0.453","0","Rugby Union","1000","","500","","","",
"CA","Alberta","M","12","R","150","24","151","2","Bus","15","0.375","52","Baseball/Softball","1000","1000","1000","1000","1000","1000",
"USA","MI","F","16","R","158","22","150","1","Car","3","1","0","Dancing","500","900","700","300","1000","1000",
"USA","PA","M","16","R","185","30","188","1","Car","15","0","31","Swimming","500","500","500","500","1000","800",
"OZ","Victoria","M","12","R","154","24","169","2","Car","1","0.37","57","Baseball/Softball","728","1000","1000","639","552","769",
"OZ","New South Wales","M","13","L","149","24","149","1","Cycle","15","0.42","34","Football/Soccer","1000","1000","1000","1000","1000","982",
"NZ","Auckland","M","15","R","178","26","180","2","Bus","15","0.34","0","None","500","","500","","","",
"OZ","Tasmania","M","16","R","177","27","180","1","Bus","15","0.23","54","Skateboarding/Rollerblading","681","604","232","226","610","675",
"CA","New Brunswick","M","13","R","151","24","152","3","Bus","30","0.438","47","Hockey (Ice)","1000","503","1000","1000","1000","1000",
"OZ","South OZ","M","11","R","167","28","179","1","Walk","10","1.32","48","Martial Arts","1000","1000","444","190","1000","1000",
"OZ","Queensland","M","12","R","142","24","143","1","Bus","30","0.43","47","Tennis","1000","1000","1000","781","90","72",
"CA","British Columbia","F","15","B","168","30","166","1","Bus","20","0.501","37","Tennis","476","513","364","770","257","257",
"USA","NJ","F","17","R","159","23","159","1","Car","20","0.274","32","Gymnastics","900","850","800","600","1000","900",
"UK","North West","F","13","R","155","15","155","1","Bus","5","0.43","38","Swimming","0","383","577","405","1000","1000",
"USA","MT","F","17","R","171","24","171","1","Car","5","0.299","46","Tennis","600","650","600","600","800","700",
"NZ","Manawatu-Wanganui","F","11","B","156","24","156","2","Car","5","1.343","0","Gymnastics","1000","","1000","","","",
"USA","IN","M","17","R","140","27","152","1","Car","8","0.307","43","Basketball","100","100","500","0","1000","1000",
"UK","Home Counties","F","11","R","148","23","149","3","Walk","10","0.36","35","Swimming","1000","1000","960","957","642","761",
"NZ","Waikato","F","13","R","141","21","134","1","Cycle","5","0.36","0","Gymnastics","500","","750","","","",
"OZ","New South Wales","M","9","R","176","26","175","1","Car","5","0.42","44","Walking/Hiking","1000","1000","1000","1000","320","314",
"USA","GA","F","11","R","162","25","162","1","Bus","20","0.437","42","Swimming","37","1000","128","","1000","1000",
"NZ","Otago","F","12","R","161","24","165","1","Bus","15","0.344","0","Netball","750","","750","","","",
"CA","Ontario","M","14","R","151","24","155","1","Bus","15","0.313","40","Basketball","1000","1000","1000","1000","1000","1000",
"CA","Ontario","F","13","R","152","23","151","1","Walk","5","0.27","36","Other activities/sports","1000","1000","1000","947","1000","1000",
"CA","Ontario","F","14","L","154","25","152","1","Bus","11","0.313","48","Swimming","701","717","701","497","283","267",
"UK","West Midlands","F","14","R","145","21","158","1","Bus","30","0.62","42","Gymnastics","400","345","447","539","853","740",
"USA","SC","F","17","R","132","20","142","2","Bus","60","0.546","42","Dancing","1000","1000","900","","800","800",
"OZ","Victoria","F","11","R","146","22","152","1","Car","3","0.4","29","Netball","214","243","764","775","811","852",
"UK","East Midlands","F","15","R","175","25","172","1","Walk","30","0.32","48","Netball","472","664","680","706","555","568",
"USA","IL","F","11","R","161","23","155","1","Bus","20","0.31","35","Skateboarding/Rollerblading","925","850","950","930","550","575",
"CA","Alberta","F","15","R","170","26","166","1","Bus","30","0.721","39","Walking/Hiking","203","759","230","524","1000","1000",
"OZ","Western OZ","F","7","L","159","23","154","2","Car","15","0.81","63","Dancing","1000","574","592","628","563","604",
"NZ","Auckland","M","14","R","173","27","169","1","Walk","15","0.318","0","Other activities/sports","1000","","750","","","",
"USA","VA","F","17","R","162","22","165","1","Car","10","0.5002","50","Rowing","412","406","32","134","888","1000",
"OZ","South OZ","M","15","R","178","28","172","1","Bus","35","0.43","71","Football/Soccer","1000","817","515","817","970","882",
"NZ","Canterbury","M","15","R","185","30","188","1","Cycle","5","0.375","0","Cycling","750","","750","","","",
"USA","MD","F","16","R","163","26","176","2","Car","30","0.528","30","Dancing","1000","513","1000","1000","53","1000",
"OZ","Western OZ","F","13","R","156","22","156","3","Bus","25","0.29","31","Basketball","1000","1000","1000","1000","155","149",
"OZ","Tasmania","M","14","R","166","26","168","1","Bus","13","0.34","39","Swimming","279","610","823","149","220","1000",
"OZ","New South Wales","F","12","R","154","22","157","1","Bus","20","0.54","35","Dancing","433","1000","1000","704","1000","1000",
"CA","Alberta","F","11","R","149","22","145","2","Walk","5","0.812","45","Gymnastics","1000","1000","1000","1000","476","487",
"CA","Alberta","F","14","R","160","23","160","2","Bus","30","0.4","36","Dancing","786","529","690","781","476","508",
"NZ","Manawatu-Wanganui","M","14","R","174","24","174","1","Car","15","1.688","0","Rugby Union","750","","250","","","",
"OZ","New South Wales","F","14","R","163","24","159","4","Walk","1","0.45","35","Rugby Union","1000","1000","1000","1000","","",
"UK","Home Counties","M","14","R","171","28","173","2","Walk","45","0.33","39","Football/Soccer","212","381","287","932","1000","1000",
"CA","Ontario","M","18","R","187","26","185","1","Car","6","0.343","33","Baseball/Softball","754","765","305","722","1000","1000",
"OZ","South OZ","M","11","R","151","25","147","2","Cycle","3","0.48","41","Basketball","1000","1000","1000","1000","492","1000",
"NZ","Wellington","F","10","R","145","24","133","1","Walk","5","0.814","0","Netball","750","","750","","","",
"CA","Ontario","F","13","R","172","25","175","1","Bus","25","0.576","46","Baseball/Softball","578","578","396","535","631","503",
"NZ","Auckland","F","14","R","170","23","160","2","Car","5","0.407","0","Tennis","500","","500","","","",
"USA","IA","F","17","R","167","25","171","1","Car","5","0.359","48","Athletics","1000","1000","1000","1000","326","674",
"OZ","Tasmania","M","15","R","187","28","185","1","Car","13","0","38","Basketball","610","415","190","344","527","728",
"UK","South","M","11","R","155","26","152","1","Rail","18","0.29","37","Football/Soccer","624","623","500","500","35","35",
"CA","Ontario","F","18","R","160","23","156","2","Bus","15","0.561","40","Dancing","21","513","877","348","1000","786",
"OZ","Queensland","M","15","R","173","27","173","1","Cycle","30","0.28","28","Martial Arts","196","202","367","7","1000","1000",
"NZ","Auckland","M","11","R","150","23","149","1","Bus","15","0.328","0","Football/Soccer","500","","750","","","",
"UK","Scotland","F","14","R","155","25","148","2","Bus","15","0.34","38","Dancing","662","831","371","818","1000","1000",
"CA","Ontario","M","9","R","126","29","134","2","Car","20","0.321","35","Football/Soccer","503","91","348","278","406","230",
"CA","Ontario","M","12","R","151","24","154","1","Walk","20","1.281","38","Cycling","497","503","1000","21","1000","1000",
"USA","GU","F","15","R","159","24","166","4","Car","5","0.249","40","Other","1000","722","1000","781","230","123",
"OZ","Queensland","M","11","B","148","24","143","2","Cycle","15","0.32","36","Tennis","1000","645","1000","521","137","243",
"OZ","Queensland","F","16","R","166","25","155","1","Car","20","0.35","46","Bowling","468","379","764","734","101","125",
"NZ","Waikato","F","10","R","150","16","141","3","Car","5","0.464","0","Basketball","1000","","500","","","",
"NZ","Auckland","M","10","R","175","29","175","1","Cycle","15","0.406","0","Swimming","1000","","500","","","",
"USA","LA","M","17","L","182","24","200","2","Bus","25","0.529","51","Table Tennis","500","500","500","600","50","50",
"OZ","Western OZ","M","11","R","159","25","149","1","Car","20","0.32","50","Football/Soccer","710","876","752","273","1000","1000",
"OZ","Victoria","M","10","R","151","25","140","1","Car","5","0.44","66","Basketball","752","699","1000","503","243","486",
"CA","Quebec","M","12","R","151","24","158","2","Walk","5","0.752","52","Hockey (Ice)","1000","1000","1000","1000","545","551",
"USA","NJ","F","14","L","175","28","175","1","Walk","5","0.624","52","Football/Soccer","1000","750","750","","600","950",
"CA","Quebec","F","15","R","156","22","157","1","Bus","12","1.396","34","Tennis","904","898","652","759","850","647",
"OZ","Victoria","M","12","R","148","26","146","1","Walk","5","0.56","66","Dancing","1000","1000","1000","1000","545","805",
"CA","Quebec","F","13","R","154","23","149","1","Bus","40","0.406","48","Dancing","872","845","824","722","1000","1000",
"CA","Ontario","F","17","R","164","25","164","2","Bus","15","0.401","46","Running/Jogging","91","107","112","123","1000","1000",
"USA","CA","M","17","R","176","27","174","2","Walk","13","0.589","38","Football/Soccer","1000","1000","1000","1000","1000","1000",
"OZ","New South Wales","M","13","R","163","25","150","2","Bus","8","0.54","47","Table Tennis","846","793","911","864","539","793",
"USA","RI","M","12","R","161","25","165","1","Car","5","0.37","62","Martial Arts","770","781","770","957","722","583",
"USA","PA","F","16","R","165","24","177","1","Bus","8","0.593","36","Football/Soccer","529","481","481","733","401","652",
"OZ","Victoria","F","11","R","154","23","155","1","Walk","3","0.32","0","Netball","982","1000","1000","1000","","1000",
"OZ","New South Wales","M","13","R","148","24","154","1","Car","15","0.32","43","Rugby League","31","13","19","7","1","60",
"OZ","Queensland","F","13","R","163","27","167","1","Car","3","0.65","43","Other activities/sports","226","131","249","167","852","829",
"CA","Ontario","F","17","B","163","23","150","2","Bus","15","0.521","42","Walking/Hiking","840","759","1000","1000","364","353",
"OZ","Western OZ","F","12","R","155","22","152","1","Walk","10","0.7","35","Dancing","1000","297","332","610","78","1000",
"USA","WI","M","13","R","180","32","148","1","Car","7","0.291","34","Football (American)","198","64","283","256","1000","1000",
"OZ","Victoria","M","13","R","171","25","174","2","Bus","23","0.29","21","Basketball","557","557","474","468","527","462",
"CA","Ontario","M","12","R","174","30","181","2","Rail","45","1.572","35","Football/Soccer","123","225","198","209","1000","1000",
"CA","Ontario","F","14","R","150","23","147","1","Bus","90","0.747","73","Bowling","455","604","508","460","647","866",
"USA","WA","F","16","L","158","25","158","1","Car","5","0.384","29","Dancing","100","50","1000","200","10","20",
"CA","Ontario","F","13","R","149","23","144","3","Walk","8","0.828","41","Other activities/sports","1000","1000","1000","1000","481","476",
"UK","Home Counties","M","13","R","180","27","180","1","Car","30","0.4","50","None","313","159","188","660","1000","987",
"CA","Alberta","F","14","R","161","22","159","1","Car","18","0.371","32","Athletics","219","118","235","225","540","519",
"OZ","Victoria","F","12","R","175","24","172","1","Walk","4","0.38","46","Skateboarding/Rollerblading","722","580","1000","752","622","1000",
"OZ","Victoria","F","11","R","158","23","152","1","Car","20","0.38","44","Swimming","1000","362","746","1000","208","970",
"USA","OH","M","10","","147","23","140","3","Bus","9","0","64","Swimming","0","200","100","300","1000","500",
"NZ","Otago","F","13","R","167","25","175","1","Bus","45","0.375","0","Other activities/sports","500","","750","","","",
"UK","North West","F","14","R","182","23","179","1","Car","10","0.25","29","Rugby League","555","711","277","1000","500","500",
"UK","Home Counties","F","13","B","165","25","162","4","Car","12","0.32","32","Hockey (Field)","1000","799","442","869","0","149",
"USA","CO","F","17","R","170","24","164","1","Car","4","0.387","35","Martial Arts","695","519","791","882","433","656",
"OZ","Victoria","M","11","R","145","23","149","3","Car","20","0.49","44","Other activities/sports","758","1000","1000","1","1","704",
"NZ","Auckland","F","14","R","157","18","145","1","Walk","15","0.469","0","Dancing","750","","500","","","",
"CA","Ontario","M","13","R","166","23","151","2","Walk","10","0.36","41","Hockey (Field)","882","775","374","588","583","668",
"NZ","Auckland","M","12","R","150","20","155","2","Walk","5","0.39","0","Football/Soccer","750","","1000","","","",
"CA","British Columbia","M","12","L","155","26","150","1","Walk","10","0.15","55","Football/Soccer","1000","1000","1000","1000","348","358",
"OZ","New South Wales","M","9","R","139","25","135","3","Walk","2","0.39","109","Basketball","976","817","622","829","178","178",
"UK","East","M","13","R","178","32","170","1","Cycle","2","0.29","58","Hockey (Ice)","998","785","890","832","700","718",
"OZ","South OZ","M","15","R","175","28","185","1","Car","10","0.31","28","Football/Soccer","1000","728","1000","687","521","503",
"USA","CA","M","16","R","178","26","191","2","Car","35","0.426","27","Tennis","32","34","33","2","726","46",
"UK","South West","F","12","R","161","23","150","2","Car","25","0","56","Other activities/sports","516","500","500","500","500","500",
"NZ","Auckland","F","11","R","160","40","120","2","Bus","15","0.53","0","Hockey (Field)","1000","","1000","","","",
"OZ","Western OZ","F","11","R","141","20","140","1","Bus","45","0.4","47","Gymnastics","409","409","415","373","462","456",
"NZ","Auckland","F","12","R","159","24","161","3","Car","5","0.484","0","Swimming","1000","","750","","","",
"OZ","Western OZ","M","12","B","174","28","178","1","Cycle","25","0.93","40","Basketball","864","1000","574","1000","25","113",
"OZ","South OZ","F","6","R","145","21","139","1","Car","6","0.43","47","Netball","592","468","450","367","1000","1000",
"OZ","New South Wales","F","14","R","165","23","160","1","Bus","45","0.32","33","Netball","580","527","628","616","480","580",
"UK","South East","F","14","L","152","20","153","2","Bus","45","0.32","42","None","617","574","407","586","29","130",
"CA","Ontario","F","13","B","155","24","155","1","Walk","5","0.453","37","Football/Soccer","711","802","1000","342","754","957",
"USA","SC","M","17","R","189","29","189","2","Bus","15","0.695","54","Other","500","500","500","","500","500",
"USA","SC","M","16","R","185","32","194","2","Bus","38","0.301","36","Golf","957","932","946","972","783","924",
"OZ","Victoria","F","10","R","151","21","151","1","Car","2","0.33","34","Basketball","805","799","811","817","1000","1000",
"NZ","Canterbury","M","12","R","157","24","157","2","Car","25","0.39","0","Rugby Union","500","","500","","","",
"NZ","Otago","F","12","L","150","23","161","1","Cycle","15","0.438","0","Swimming","1000","","500","","","",
"NZ","Auckland","F","10","L","132","20","132","3","Car","25","0.441","0","Netball","1000","","750","","","",
"USA","FL","M","16","R","175","27","212","2","Car","35","0.347","36","Basketball","583","508","561","503","551","684",
"OZ","New South Wales","F","12","R","145","21","142","1","Bus","30","0.37","38","Tennis","492","817","362","403","302","438",
"OZ","South OZ","M","11","L","150","24","140","1","Walk","6","0.32","43","Hockey (Field)","167","161","172","486","634","622",
"CA","British Columbia","M","12","R","160","24","155","2","Walk","10","0.282","29","Football/Soccer","1000","1000","1000","642","369","374",
"OZ","Victoria","M","13","R","179","29","179","1","Car","5","0.4","39","Other activities/sports","1000","970","1000","527","1000","1000",
"USA","PA","F","17","R","163","23","158","1","Bus","20","0.415","52","Tennis","0","400","700","700","1000","1000",
"CA","Ontario","F","18","R","165","23","166","1","Bus","30","0.427","46","Dancing","503","636","235","257","1000","1000",
"CA","Ontario","F","14","R","163","30","162","2","Walk","8","0.33","33","None","503","674","567","636","1000","1000",
"CA","Quebec","F","15","R","166","26","163","2","Bus","10","0.677","72","Other activities/sports","1000","914","925","936","262","406",
"CA","Ontario","F","14","R","157","21","153","2","Car","3","0.453","34","Dancing","925","786","973","973","920","850",
"OZ","South OZ","F","9","R","121","21","122","1","Car","3","0.5","72","Basketball","1000","1000","616","480","","",
"CA","Ontario","F","18","R","173","29","164","1","Car","10","0.267","25","Rugby League","1000","1000","1000","1000","551","706",
"OZ","Victoria","M","15","R","165","27","140","1","Walk","20","0.42","32","Golf","509","557","598","515","568","545",
"OZ","South OZ","M","13","R","179","25","174","3","Car","15","0.42","81","Football/Soccer","758","568","687","669","415","568",
"USA","NH","F","17","R","167","21","175","1","Car","10","0.366","39","Swimming","727","765","460","583","214","450",
"CA","Quebec","M","15","R","173","29","173","3","Bus","20","0.26","37","Walking/Hiking","1000","1000","492","503","1000","1000",
"USA","SC","F","17","R","157","23","159","1","Car","12","0.436","40","Rowing","880","900","700","800","450","600",
"NZ","Gisborne","F","9","R","134","21","138","1","Bus","15","0.531","0","Hockey (Field)","750","","1000","","","",
"OZ","Western OZ","F","14","L","152","23","150","4","Car","5","0.36","48","Dancing","598","338","545","308","869","1000",
"NZ","Waikato","F","13","R","160","20","160","1","Walk","15","0.375","0","Baseball/Softball","750","","750","","","",
"UK","East Midlands","F","12","R","160","24","150","2","Bus","20","1.18","44","Swimming","581","440","445","365","0","534",
"USA","OH","M","15","R","173","27","180","2","Car","25","0.282","28","Football/Soccer","500","500","500","750","600","750",
"UK","South","M","13","R","167","23","167","3","Car","5","0.36","34","Other activities/sports","612","656","500","682","374","443",
"UK","East Midlands","F","13","R","147","22","128","4","Walk","20","0.93","41","Athletics","984","1000","840","972","819","1000",
"USA","IL","M","12","R","170","26","160","2","Walk","15","0.519","40","Tennis","706","374","203","465","139","417",
"NZ","Manawatu-Wanganui","F","10","R","137","19","133","1","Car","5","0.469","0","Other activities/sports","500","","1000","","","",
"CA","Ontario","F","12","R","145","25","150","2","Car","9","0.38","38","Hockey (Ice)","845","481","305","551","877","743",
"OZ","Tasmania","F","16","R","161","23","158","4","Bus","70","0.37","40","Netball","787","864","870","492","746","752",
"OZ","Victoria","M","13","R","145","23","146","1","Car","30","0.32","31","Basketball","1000","1000","1000","1000","758","923",
"USA","SC","F","17","R","160","26","158","2","Car","13","0.312","33","Dancing","998","979","973","963","0","0",
"UK","Home Counties","F","13","R","163","25","154","3","Walk","45","0.4","34","Basketball","143","164","269","746","854","1000",
"NZ","Manawatu-Wanganui","F","12","R","160","25","165","1","Car","15","0.422","0","Netball","750","","750","","","",
"USA","PA","F","16","B","168","24","169","2","Car","10","0.445","35","None","5","1","2","6","4","3",
"USA","VA","M","17","R","192","27","191","1","Bus","10","0.33","45","Other","750","750","500","500","750","750",
"USA","IN","F","17","R","165","24","166","1","Car","5","0.399","60","Gymnastics","300","50","50","10","700","900",
"OZ","Western OZ","M","10","R","137","20","133","1","Car","1","0.48","41","None","474","693","456","604","840","840",
"OZ","Victoria","M","13","R","159","24","152","1","Bus","30","0.38","42","Football/Soccer","689","390","1000","587","204","533",
"NZ","Canterbury","M","10","R","137","20","130","1","Car","15","0.432","0","Tennis","1000","","1000","","","",
"OZ","Western OZ","F","11","R","161","24","160","1","Car","23","0.41","48","Other activities/sports","66","131","498","72","36","314",
"CA","Quebec","F","11","R","146","23","135","2","Car","5","0.391","47","Dancing","631","535","647","353","444","561",
"NZ","Auckland","M","13","R","166","25","169","3","Walk","5","0.325","0","Swimming","1000","","1000","","","",
"OZ","South OZ","M","12","L","150","27","149","1","Car","3","0.34","105","Swimming","545","438","379","391","","",
"OZ","Victoria","F","12","R","154","45","92","1","Car","5","0.4","40","Athletics","344","338","1","693","486","492",
"CA","British Columbia","F","12","R","147","22","144","1","Bus","5","0.46","45","Other activities/sports","674","412","567","711","219","59",
"CA","Alberta","F","9","R","135","21","131","1","Car","10","0.922","68","Dancing","824","824","824","829","369","369",
"NZ","Northland","M","11","L","149","24","148","1","Bus","15","0","0","Rugby Union","500","","1000","","","",
"CA","Ontario","F","13","R","164","25","156","2","Walk","10","0.38","27","Athletics","278","278","123","294","1000","1000",
"UK","East Midlands","F","15","R","170","23","171","2","Walk","20","0.28","52","Swimming","729","734","684","779","792","904",
"UK","North East","F","13","R","169","24","163","1","Walk","3","0.34","45","Dancing","870","583","925","758","628","854",
"CA","Ontario","M","13","R","166","28","169","1","Car","10","0.381","36","Hockey (Ice)","406","118","1000","749","1000","1000",
"OZ","Tasmania","M","14","R","186","27","191","1","Car","15","0.29","60","Football/Soccer","1000","509","1000","509","749","761",
"USA","SC","F","16","R","160","21","167","1","Car","7","0.932","50","Dancing","800","700","800","700","1000","1000",
"UK","West Midlands","F","14","R","130","17","105","2","Walk","15","0.28","45","Running/Jogging","454","0","1000","999","371","367",
"OZ","South OZ","M","12","R","178","26","180","1","Bus","20","0.32","32","Other activities/sports","521","651","693","462","456","468",
"USA","WI","M","13","R","132","38","152","1","Bus","7","0.32","56","Athletics","500","200","275","100","250","700",
"OZ","New South Wales","M","13","R","176","26","177","3","Bus","70","0.34","53","Football/Soccer","308","308","279","255","143","444",
"NZ","Otago","M","18","R","169","23","169","2","Walk","15","0.375","0","Rugby Union","1000","","1000","","","",
"OZ","South OZ","F","16","R","170","23","170","2","Car","6","0.32","51","Hockey (Field)","557","769","639","237","805","846",
"OZ","New South Wales","M","11","R","138","22","141","1","Walk","10","0.33","32","Bowling","366","276","623","444","1000","1000",
"NZ","Auckland","M","13","R","157","25","163","1","Bus","15","0.36","0","Football/Soccer","750","","750","","","",
"CA","Ontario","M","14","R","163","27","154","1","Bus","10","0.38","46","Hockey (Ice)","882","888","1000","679","1000","1000",
"OZ","South OZ","M","9","R","143","22","142","2","Car","14","0.5","28","Football/Soccer","1000","1000","1000","1000","1","527",
"NZ","Auckland","F","13","R","175","26","186","3","Walk","15","0.558","0","Other activities/sports","1000","","1000","","","",
"OZ","Tasmania","M","13","R","157","26","156","1","Walk","10","0.37","33","Tennis","119","480","752","947","36","113",
"OZ","Victoria","M","11","R","157","25","145","1","SkateBoard...","30","0.39","59","Martial Arts","1000","1000","1000","1000","1000","350",
"CA","Ontario","F","11","R","148","23","146","3","Car","2","0.369","22","Bowling","1000","1000","1000","1000","1000","1000",
"NZ","Auckland","M","12","R","150","26","150","1","Car","15","0.297","0","Basketball","250","","500","","","",
"CA","Ontario","M","10","B","140","24","152","3","Car","10","0.407","56","Football/Soccer","1000","963","963","497","1000","1000",
"OZ","New South Wales","F","11","R","140","23","141","1","Walk","14","0.44","24","Swimming","1000","1000","1000","1000","1000","1000",
"NZ","Auckland","F","11","R","164","23","163","2","Car","5","0.375","0","Basketball","1000","","750","","","",
"NZ","Auckland","M","12","R","154","24","154","2","Bus","5","0.344","0","Basketball","500","","500","","","",
"OZ","Victoria","F","12","R","173","20","152","1","Bus","30","0.31","26","Basketball","551","563","574","722","1000","1000",
"CA","Alberta","M","10","R","140","20","138","1","Car","2","0.401","124","Hockey (Ice)","1000","96","59","53","369","176",
"CA","Manitoba","M","13","R","160","26","162","4","Car","3","0.36","38","Football/Soccer","75","112","160","214","545","551",
"USA","WI","M","10","R","140","22","150","1","Car","4","0","0","Bowling","750","900","500","400","800","950",
"OZ","Queensland","F","15","R","163","23","161","1","Car","17","0.29","35","Football/Soccer","125","25","196","338","1000","1000",
"UK","South West","F","11","L","162","25","170","2","Bus","25","0.32","32","Dancing","0","0","1000","1000","419","742",
"USA","UT","F","17","R","147","31","172","1","Car","10","0","0","Football/Soccer","508","332","1000","679","1000","1000",
"USA","DC","F","14","R","156","22","163","2","Car","5","0","0","Swimming","1000","1000","1000","","1000","1000",
"USA","ID","M","17","R","182","27","182","1","Car","15","0.371","52","Football/Soccer","1000","1000","850","1000","600","750",
"CA","Ontario","M","12","L","128","22","135","3","Bus","40","0.61","40","Football/Soccer","759","578","1000","914","984","1000",
"NZ","Auckland","F","11","R","142","23","147","2","Car","5","0.452","0","Basketball","750","","750","","","",
"CA","Ontario","M","9","R","155","22","164","1","Walk","4","0.562","47","Cricket","1000","1000","882","1000","1000","1000",
"USA","SC","M","15","R","127","25","174","1","Car","20","0.708","55","Baseball/Softball","500","500","700","","500","1000",
"USA","MD","M","16","B","177","28","184","2","Bus","15","0.273","37","Football (American)","481","599","120","604","1000","1000",
"USA","AZ","M","17","R","178","28","180","1","Car","18","0.431","58","Other","746","532","439","238","237","789",
"NZ","Auckland","F","12","R","162","26","165","1","Car","15","0.563","0","Basketball","750","","1000","","","",
"USA","DE","M","17","R","173","25","170","1","Car","12","0.297","34","Football/Soccer","604","508","69","535","1000","1000",
"NZ","Waikato","M","12","R","158","25","151","1","Car","5","0.411","0","Cricket","500","","500","","","",
"NZ","Auckland","F","13","R","168","25","163","1","Bus","25","0.484","0","Hockey (Field)","1000","","1000","","","",
"CA","Quebec","M","12","R","150","22","150","3","Car","2","0.33","70","Cycling","476","738","1000","722","1000","1000",
"CA","Ontario","M","12","B","145","23","144","6","Walk","15","0.328","37","Basketball","1000","1000","1000","1000","1000","1000",
"OZ","OZn Capitol Territory","M","7","R","154","27","149","2","Car","1","0.32","42","Martial Arts","1000","1000","1000","1000","1000","1000",
"CA","Ontario","M","12","R","150","24","151","1","Bus","10","0.469","44","Baseball/Softball","1000","1000","1000","1000","1000","1000",
"CA","Ontario","F","14","R","156","24","156","2","Bus","30","0.622","25","Dancing","770","540","283","610","845","722",
"NZ","Waikato","M","11","L","150","25","150","1","Car","5","1.406","0","Rugby Union","0","","0","","","",
"CA","Nova Scotia","M","18","R","181","30","198","1","Car","10","0.531","36","Other activities/sports","37","43","48","64","850","866",
"OZ","OZn Capitol Territory","F","8","R","150","21","147","1","Car","1","0.53","45","Gymnastics","468","208","574","385","279","232",
"USA","CA","F","17","R","171","25","160","1","Car","7","0.473","34","","353","370","556","91","775","909",
"NZ","West Coast","F","12","L","155","36","150","1","Walk","5","1.313","0","Dancing","500","","500","","","",
"NZ","Wellington","F","10","R","143","21","141","2","Car","5","0.375","0","Netball","1000","","750","","","",
"USA","TX","F","17","R","171","25","170","1","Car","7","0.415","0","Dancing","55","903","905","902","500","500",
"CA","Quebec","F","12","R","157","25","160","2","Car","7","0.401","72","Dancing","872","872","727","540","1000","481",
"NZ","Auckland","F","11","B","143","23","87","3","Cycle","15","0","0","Swimming","500","","500","","","",
"NZ","Auckland","F","14","R","150","22","150","1","Bus","25","0.359","0","Martial Arts","1000","","1000","","","",
"NZ","Auckland","M","15","R","185","28","180","1","Car","25","0.27","0","Rugby Union","1000","","500","","","",
"UK","Home Counties","M","14","R","183","26","150","1","Walk","30","0.37","40","Football/Soccer","819","667","588","638","305","306",
"OZ","Western OZ","F","12","R","159","24","150","2","Walk","1","0.18","39","Swimming","515","1000","1000","1000","362","362",
"OZ","New South Wales","F","8","L","161","24","167","2","Car","20","0.24","34","Tennis","1000","1000","468","486","1000","1000",
"USA","WI","M","14","R","171","24","203","1","Car","10","0.2","30","Football (American)","1000","1000","1000","1000","0","0",
"NZ","Auckland","F","13","L","163","26","158","2","Car","5","0.391","0","Netball","250","","750","","","",
"OZ","South OZ","F","14","R","167","24","154","1","Car","4","0.35","54","Netball","533","533","1000","1000","752","982",
"CA","Ontario","F","12","L","162","27","178","1","Bus","20","0.392","51","Basketball","1000","754","1000","599","508","59",
"USA","NY","F","11","R","149","23","122","1","Bus","60","0.566","9","Dancing","100","100","789","489","500","500",
"USA","VA","M","17","L","185","25","171","1","Car","10","0.321","34","Rowing","695","802","561","449","1000","1000",
"UK","North West","M","14","R","165","24","163","1","Walk","15","0","42","Athletics","230","197","503","412","546","500",
"CA","Ontario","F","18","R","158","24","155","1","Car","7","0.267","61","Hockey (Ice)","193","508","417","674","770","888",
"OZ","Victoria","F","14","R","170","24","164","1","Bus","8","0.46","37","Netball","1000","1000","1000","486","344","356",
"NZ","Auckland","F","10","R","147","22","145","1","Car","5","1.822","0","Hockey (Field)","1000","","1000","","","",
"USA","PA","F","15","R","170","25","171","1","Bus","25","0","0","Basketball","500","500","500","500","1000","1000",
"NZ","Auckland","M","9","R","130","19","117","1","Car","5","1.25","0","Rugby Union","750","","750","","","",
"USA","GA","F","17","R","169","24","173","1","Car","9","0.305","45","Football/Soccer","471","492","449","503","70","59",
"OZ","Tasmania","F","12","R","160","24","161","1","Car","2","0.4","65","Dancing","318","456","408","426","133","246",
"CA","Ontario","M","14","L","164","27","165","2","Board","15","0.573","69","Basketball","540","471","460","1000","1000","1000",
"USA","CA","M","17","R","168","25","172","5","Bus","50","0.317","55","Basketball","503","503","503","503","503","503",
"USA","AZ","F","17","R","198","22","157","2","Bus","15","0.417","37","Walking/Hiking","500","550","900","","300","500",
"NZ","Auckland","F","14","R","169","24","169","2","Bus","15","1.493","0","Other activities/sports","750","","250","","","",
"OZ","New South Wales","M","14","R","183","33","187","2","Bus","20","0.37","32","Rugby League","527","527","539","551","1000","1000",
"NZ","Waikato","M","10","R","145","19","130","1","Car","5","0","0","Football/Soccer","500","","500","","","",
"CA","Ontario","F","12","B","150","22","154","4","Car","7","0.516","50","Swimming","738","679","668","904","439","743",
